Concept,Concept_Frequency,E_mean,P_mean,A_mean,E_sd,P_sd,A_sd
being sarcastic is,104,-0.500961541,0.242307692,1.156730759,1.706270282,1.48465891,1.463720772
being scornful is,89,-2.274157299,-0.539325844,0.698876403,0.991157274,1.80659259,1.540181089
being secretive is,106,-0.495283014,0.463207544,-1.787735842,1.287402844,1.268619454,1.303964852
being secure is,135,3.105925913,2.35777778,-0.302238803,0.787188747,1.209629691,1.542211394
being self assured is,101,2.829702956,2.139603951,0.352475246,0.845167988,1.305915706,1.734162269
being self centered is,103,-2.499999996,-0.397087378,0.660784308,1.213728657,1.761542124,1.563770307
being self confident is,105,2.936190462,2.632380941,0.753846148,0.887858684,0.967897727,1.750224571
being self disciplined is,101,3.020792066,2.309900981,-0.486138613,0.941628047,1.221515862,1.656141874
being self pitying is,88,-2.322727272,-2.16136363,-1.755681818,1.059356483,1.526052062,1.146394446
being self righteous is,104,-1.228846149,0.311538465,1.067307681,1.700409604,1.759264386,1.578400458
being self sacrificing is,103,2.242718435,1.909708727,-0.15339806,1.524480105,1.643735254,1.827932257
